Titulo,Año,Duracion,Clasificación,Puntaje,Resumen,Director,Actores,URL Imagen
110. Amélie,2001,2h 2m,A,"8,3","Amélie es una chica inocente e ingenua en París con su propio sentido de la justicia. Decide ayudar a los que la rodean y, durante el proceso, descubre el amor.",Audrey Tautou,"2001, 2h 2min, A, Comedia, Romance, Jean-Pierre Jeunet, Audrey Tautou, Mathieu Kassovitz, Rufus","https://m.media-amazon.com/images/M/MV5BMGM2ZmYyMTUtYzkxMC00MTc1LWI0NTUtNTIzZjc2YTM0YTdhXkEyXkFqcGdeQXVyMTMxODYzNjg@._V1_QL75_UY207_CR1,0,140,207_.jpg"
111. Heat,1995,2h 50m,13,"8,3","Un grupo de ladrones profesionales de alto nivel empieza a sentir a la policía de Los Ángeles en los talones cuando, sin saberlo, deja una pista en su último atraco.",Al Pacino,"1995, 2h 50min, 13, Acción, Crimen, Drama, Michael Mann, Al Pacino, Robert De Niro, Val Kilmer","https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR2,0,140,207_.jpg"
112. Up,2009,1h 36m,A,"8,3","Carl Fredricksen, de 78 años, viaja a las cataratas Paraíso en su casa equipada con globos, sin darse cuenta de que lleva a un polizón.",Edward Asner,"2009, 1h 36min, A, Animación, Aventura, Comedia, Pete Docter, Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger","https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX140_CR0,0,140,207_.jpg"
113. La naranja mecánica,1971,2h 16m,(Banned),"8,3","En el futuro, el sádico líder de una banda es encarcelado y se ofrece como voluntario para un experimento de reeducación, pero no sale según lo planeado.",Malcolm McDowell,"1971, 2h 16min, (Banned), Crimen, Ciencia ficción, Stanley Kubrick, Malcolm McDowell, Patrick Magee, Michael Bates","https://m.media-amazon.com/images/M/MV5BNWNmMTE2OTctNWQxZC00MDY3LTlmZDQtOTBjZTJmNDk1MTI4XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UX140_CR0,1,140,207_.jpg"
114. Matar a un ruiseñor,1962,2h 9m,18,"8,3","Atticus Finch, un abogado sureño durante la Gran Depresión, defiende a un hombre negro contra un falso cargo de violación.",Gregory Peck,"1962, 2h 9min, 18, Crimen, Drama, Robert Mulligan, Gregory Peck, John Megna, Frank Overton","https://m.media-amazon.com/images/M/MV5BZTEzN2IwNzItZmQ4YS00NzdlLWE4NWQtNDdjYWIyMzRlYjVlXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"115. Nader y Simin, una separación",2011,2h 3m,7,"8,3",Una pareja casada se enfrenta a una decisión difícil: mejorar la vida de su hijo mudándose a otro país o quedándose en Irán y cuidando a un padre demente que padece de Alzheimer.,Payman Maadi,"2011, 2h 3min, 7, Drama, Asghar Farhadi, Payman Maadi, Leila Hatami, Sareh Bayat","https://m.media-amazon.com/images/M/MV5BMzg2NjkxMzAxNV5BMl5BanBnXkFtZTcwMjMwNzgwNQ@@._V1_QL75_UY207_CR8,0,140,207_.jpg"
116. El golpe,1973,2h 9m,A,"8,3","En Chicago, en septiembre de 1936, un joven estafador que busca vengarse de su socio asesinado se une a un maestro de la gran estafa para ganar una fortuna de un banquero criminal.",Paul Newman,"1973, 2h 9min, A, Comedia, Crimen, Drama, George Roy Hill, Paul Newman, Robert Redford, Robert Shaw","https://m.media-amazon.com/images/M/MV5BZGZmY2EzNzAtMTAxNi00M2M4LWE5NzgtNmMzZDY1MzhmYzQyXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_QL75_UX140_CR0,0,140,207_.jpg"
117. Jungla de cristal,1988,2h 12m,13,"8,2","John McClane, agente del departamento de policía de Nueva York, intenta salvar a su mujer, Holly Gennaro, y a otras personas a las que el terrorista alemán, Hans Gruber, ha tomado como rehenes durante la fiesta navideña en el Nakatomi Plaza en Los Ángeles.",Bruce Willis,"1988, 2h 12min, 13, Acción, Suspense, John McTiernan, Bruce Willis, Alan Rickman, Bonnie Bedelia","https://m.media-amazon.com/images/M/MV5BZDljZGUyNDQtOWMwOC00ZGJlLTgzZGEtNjZhYTM5ODJlYjBmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
118. Indiana Jones y la última cruzada,1989,2h 7m,A,"8,2","En 1938, después de que su padre, el profesor Henry Jones, desapareciera mientras buscaba el Santo Grial, Indiana Jones se enfrenta de nuevo a los nazis de Adolf Hitler para impedir que obtengan sus poderes.",Harrison Ford,"1989, 2h 7min, A, Acción, Aventura, Steven Spielberg, Harrison Ford, Sean Connery, Alison Doody","https://m.media-amazon.com/images/M/MV5BZTM3ZTJhNTYtNWUwYS00NmE1LTkxMTMtZTdjNTk1MjljZDIyXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
119. Taare Zameen Par,2007,2h 42m,PG,"8,3","Un niño de ocho años es visto como un alborotador y un vago, hasta que el nuevo maestro de arte tiene la paciencia y la compasión para descubrir el verdadero problema detrás de sus dificultades en la escuela.",Darsheel Safary,"2007, 2h 42min, PG, Drama, Familiar, Aamir Khan, Amole Gupte, Darsheel Safary, Aamir Khan, Tisca Chopra","https://m.media-amazon.com/images/M/MV5BYjY0MGU3MmQtMGVhOS00M2IyLWI1MTktZGUxMzBjMTE5ZDA3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR2,0,140,207_.jpg"
