Titulo,Año,Duracion,Clasificación,Puntaje,Resumen,Director,Actores,URL Imagen
179. Million Dollar Baby,2004,2h 12m,13,"8,1",Una mujer llena de determinación se prepara para convertirse en profesional del boxeo con un entrenador con experiencia.,Hilary Swank,"2004, 2h 12min, 13, Drama, Deporte, Clint Eastwood, Hilary Swank, Clint Eastwood, Morgan Freeman","https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
180. Mi vecino Totoro,1988,1h 26m,A,"8,1","Cuando dos jóvenes chicas se mudan al campo para estar cerca de su madre enferma, tienen aventuras con los maravillosos espíritus del bosque que viven cerca.",Hitoshi Takagi,"1988, 1h 26min, A, Animación, Comedia, Familiar, Hayao Miyazaki, Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto","https://m.media-amazon.com/images/M/MV5BMjg3ZmIyYWMtYmRmMC00YTcyLTgzMjItODk3Yjc4ZDc5ODE5XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR4,0,140,207_.jpg"
181. Children of Heaven,1997,1h 29m,13,"8,2","Los zapatos de Zohres se han perdido; su hermano mayor Ali se los perdió. Son pobres, no hay zapatos para Zohre..... hasta que apareció una idea: compartirán un par de zapatos, La escuela de Alis,espera. ¿Logrará el plan?",Mohammad Amir Naji,"1997, 1h 29min, 13, Drama, Familiar, Deporte, Majid Majidi, Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi","https://m.media-amazon.com/images/M/MV5BZTYwZWQ4ZTQtZWU0MS00N2YwLWEzMDItZWFkZWY0MWVjODVhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,4,140,207_.jpg"
182. Mad Max: Furia en la carretera,2015,2h,16,"8,1","En un páramo postapocalíptico, una mujer se rebela contra un gobernante tiránico en busca de su patria con la ayuda de un grupo de prisioneras, un adorador psicótico y un vagabundo llamado Max.",Tom Hardy,"2015, 2h, 16, Acción, Aventura, Ciencia ficción, George Miller, Tom Hardy, Charlize Theron, Nicholas Hoult","https://m.media-amazon.com/images/M/MV5BYzg1N2E1M2YtYTA4Ny00NDY2LWI5ZDEtYjg3YWNmZWRmZmJhXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
183. 12 años de esclavitud,2013,2h 14m,16,"8,1","En los EE. UU. antes de la guerra, Solomon Northup, un hombre negro libre del estado de Nueva York, es secuestrado y vendido como esclavo.",Chiwetel Ejiofor,"2013, 2h 14min, 16, Biografía, Drama, Historia, Steve McQueen, Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender","https://m.media-amazon.com/images/M/MV5BMGFjNmI3NjEtMThmMi00ZDBkLTk0YjEtODIxNmQxNTc3NTkwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR2,0,140,207_.jpg"
184. Ben-Hur,1959,3h 32m,A,"8,1","Después de que un príncipe judío sea traicionado y enviado a la esclavitud por un amigo romano, en la Jerusalén del siglo I, recupera su libertad y vuelve para vengarse.",Charlton Heston,"1959, 3h 32min, A, Aventura, Drama, William Wyler, Charlton Heston, Jack Hawkins, Stephen Boyd","https://m.media-amazon.com/images/M/MV5BODA2MzI4OGQtYWNkNi00MThjLWJjMzItMDMwNzFhMWRmODk2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UY207_CR5,0,140,207_.jpg"
185. Antes de amanecer,1995,1h 41m,T,"8,1","Un joven y una mujer se conocen en un tren en Europa y terminan pasando una noche juntos en Viena. Desafortunadamente, ambos saben que esta será probablemente la única noche que estén juntos.",Ethan Hawke,"1995, 1h 41min, T, Drama, Romance, Richard Linklater, Ethan Hawke, Julie Delpy, Andrea Eckert","https://m.media-amazon.com/images/M/MV5BYjBkMGJiMTYtMGI0NC00M2IxLTg4MTQtZjcxYjAxYzNkYWYxXkEyXkFqcGdeQXVyMTA3MzQ4MTg5._V1_QL75_UY207_CR3,0,140,207_.jpg"
186. Blade Runner,1982,1h 57m,14,"8,1",Un blade runner debe encontrar y retirar a cuatro replicantes que robaron una nave en el espacio y han regresado a la Tierra para encontrar a su creador.,Harrison Ford,"1982, 1h 57min, 14, Acción, Drama, Ciencia ficción, Ridley Scott, Harrison Ford, Rutger Hauer, Sean Young","https://m.media-amazon.com/images/M/MV5BMTU2NjUzNTE0N15BMl5BanBnXkFtZTcwMzA3MjI4OQ@@._V1_QL75_UY207_CR4,0,140,207_.jpg"
187. Barry Lyndon,1975,3h 5m,18,"8,1",Un irlandés sin escrúpulos se gana el corazón de una viuda rica y asume la posición aristocrática de su marido muerto en la Inglaterra del siglo XVIII.,Ryan O'Neal,"1975, 3h 5min, 18, Aventura, Drama, Bélico, Stanley Kubrick, Ryan O'Neal, Marisa Berenson, Patrick Magee","https://m.media-amazon.com/images/M/MV5BOTAxNTZhN2YtMDhhYi00NzE1LWE3ZTUtOGI3NWQwZmMwMzU3XkEyXkFqcGdeQXVyMTYzMDUzNjEw._V1_QL75_UY207_CR1,0,140,207_.jpg"
188. El gran hotel Budapest,2014,1h 39m,12,"8,1","Un escritor encuentra al propietario de un antiguo hotel de lujo, que le cuenta sus primeros años como botones en la época dorada del hotel, bajo la supervisión de un conserje excepcional.",Ralph Fiennes,"2014, 1h 39min, 12, Aventura, Comedia, Crimen, Wes Anderson, Ralph Fiennes, F. Murray Abraham, Mathieu Amalric","https://m.media-amazon.com/images/M/MV5BNzEzODU0ZjgtMTBjYS00OGQ2LTkyYWYtNzM2MDVhOTkwOWEyXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
189. Hasta el último hombre (Hacksaw Ridge),2016,2h 19m,16,"8,1","El médico del ejército Desmond T. Doss, que sirvió durante la batalla de Okinawa, se niega a matar y se convierte en el primer hombre de la historia de Estados Unidos que recibe la Medalla de Honor sin disparar un tiro.",Andrew Garfield,"2016, 2h 19min, 16, Biografía, Drama, Historia, Mel Gibson, Andrew Garfield, Sam Worthington, Luke Bracey","https://m.media-amazon.com/images/M/MV5BMWE2NWQ5MzItMjg5Yy00MmMyLTliODgtNWYwYzA4NGQ3MDBmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
190. Perdida,2014,2h 29m,16,"8,1","Con la desaparición de su esposa convertida en el centro de un intenso circo mediático, un hombre ve cómo los focos se dirigen hacia él cuando se sospecha que podría no ser inocente.",Ben Affleck,"2014, 2h 29min, 16, Drama, Misterio, Suspense, David Fincher, Ben Affleck, Rosamund Pike, Neil Patrick Harris","https://m.media-amazon.com/images/M/MV5BZGQwM2YwZWEtNWQ0YS00MWY0LTk5OGItN2Y5MTk4ODBhNGYzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
191. El club de los poetas muertos,1989,2h 8m,13,"8,1",El inconformista profesor John Keating utiliza la poesía para animar a sus alumnos del internado a alcanzar nuevas cotas de autoexpresión.,Robin Williams,"1989, 2h 8min, 13, Comedia, Drama, Peter Weir, Robin Williams, Robert Sean Leonard, Ethan Hawke","https://m.media-amazon.com/images/M/MV5BMjI5ZmY0MjctNzc2Mi00ZGUyLWFhYjUtYTAwOWU3MjMwYjc0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
192. Memories of Murder (Crónica de un asesino en serie),2003,2h 11m,18,"8,1","En una pequeña provincia coreana en 1986, tres detectives buscan al culpable de una serie de violaciones y asesinatos de mujeres jóvenes.",Song Kang-ho,"2003, 2h 11min, 18, Crimen, Drama, Misterio, Bong Joon Ho, Song Kang-ho, Kim Sang-kyung, Kim Roe-ha","https://m.media-amazon.com/images/M/MV5BODFiNjRiMjYtYmVhZi00MjUwLTljNzctZWNkZjk1OTE4YjVhXkEyXkFqcGdeQXVyNzExODc3Nzk@._V1_QL75_UX140_CR0,2,140,207_.jpg"
193. En el nombre del padre,1993,2h 13m,13,"8,1",La confesión forzada de un hombre sobre un atentado del IRA que no cometió tuvo como resultado el encarcelamiento de su padre también. Un abogado inglés lucha por liberar a ambos.,Daniel Day-Lewis,"1993, 2h 13min, 13, Biografía, Crimen, Drama, Jim Sheridan, Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie","https://m.media-amazon.com/images/M/MV5BM2ZjOGIxMTEtOTBiNy00M2U4LThiZWYtY2EzMTAwZDVmODAwXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
194. La quimera del oro,1925,1h 35m,A,"8,1",Un buscador de oro viaja al Klondike durante la fiebre del oro de 1890 con la esperanza de hacer fortuna y queda prendado de una chica que ve en un salón de baile.,Charles Chaplin,"1925, 1h 35min, A, Aventura, Comedia, Drama, Charles Chaplin, Charles Chaplin, Mack Swain, Tom Murray","https://m.media-amazon.com/images/M/MV5BOGMyN2I4MGQtNzcwMS00ZTI5LTk4M2ItMGVmNjQxMzliOTc2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"195. Monstruos, S.A.",2001,1h 32m,A,"8,1","Dos monstruos, Sulley y Mike, trabajan en Monstruos S.A. asustando niños para obtener energía. Los monstruos piensan que los humanos son tóxicos y, cuando una niña entre en su mundo, ambos deberán enviarla a casa lo antes posible.",Billy Crystal,"2001, 1h 32min, A, Animación, Aventura, Comedia, Pete Docter, David Silverman, Lee Unkrich, Billy Crystal, John Goodman, Mary Gibbs","https://m.media-amazon.com/images/M/MV5BOGNjOTRiMmItMWM2Ny00MWZmLTgyYjItMWU1YTY5NDRmNWY2XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
196. Relatos salvajes,2014,2h 2m,16,"8,1",Seis historias cortas que exploran los confines del comportamiento humano.,Darío Grandinetti,"2014, 2h 2min, 16, Comedia, Drama, Suspense, Damián Szifron, Darío Grandinetti, María Marull, Mónica Villa","https://m.media-amazon.com/images/M/MV5BYjIzZmNiZTktZGM5MC00MWNiLTkzZGItNDAyZTU3ZjI5ODdjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UY207_CR3,0,140,207_.jpg"
197. El cazador,1978,3h 3m,18,"8,1",Un examen en profundidad de las formas en que la guerra de Vietnam impacta y perturba las vidas de varios amigos en una pequeña ciudad siderúrgica de Pensilvania.,Robert De Niro,"1978, 3h 3min, 18, Drama, Bélico, Michael Cimino, Robert De Niro, Christopher Walken, John Cazale","https://m.media-amazon.com/images/M/MV5BZjVmOTY3ZTUtOWU4MC00ZDc2LWE2N2EtYTZmMWI1NjQ2MjlmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UY207_CR1,0,140,207_.jpg"
198. El maquinista de La General,1926,1h 18m,A,"8,1","Tras ser rechazado por el ejército confederado, sin darse cuenta de que se debía a su crucial papel civil, un ingeniero debe recuperar sin ayuda su querida locomotora después de que sea secuestrada por espías de la Unión.",Buster Keaton,"1926, 1h 18min, A, Acción, Aventura, Comedia, Clyde Bruckman, Buster Keaton, Buster Keaton, Marion Mack, Glen Cavender","https://m.media-amazon.com/images/M/MV5BMjE1NTEzMzUzNV5BMl5BanBnXkFtZTgwNzY1NjYxMjE@._V1_QL75_UX140_CR0,5,140,207_.jpg"
199. La ley del silencio,1954,1h 48m,7,"8,1","Un exluchador, convertido en estibador de Nueva Jersey, lucha por enfrentarse a sus corruptos jefes sindicales, incluido su hermano mayor, mientras empieza a conectar con la afligida hermana de una de las víctimas del sindicato.",Marlon Brando,"1954, 1h 48min, 7, Crimen, Drama, Suspense, Elia Kazan, Marlon Brando, Karl Malden, Lee J. Cobb","https://m.media-amazon.com/images/M/MV5BMjE0MDM3OTcxMl5BMl5BanBnXkFtZTgwNjM2OTI3MjE@._V1_QL75_UY207_CR2,0,140,207_.jpg"
200. Tiburón,1975,2h 4m,14,"8,1","Cuando un tiburón asesino desata el caos en una comunidad playera de Long Island, el sheriff local, un biólogo marino y un viejo marinero deben dar caza a la bestia.",Roy Scheider,"1975, 2h 4min, 14, Aventura, Drama, Suspense, Steven Spielberg, Roy Scheider, Robert Shaw, Richard Dreyfuss","https://m.media-amazon.com/images/M/MV5BM2U2MDMwMGYtMGU0Ni00ZTk0LTgxZjYtMmZiMDgzZDk1Y2M0XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UY207_CR1,0,140,207_.jpg"
201. El moderno Sherlock Holmes,1924,45m,A,"8,2","Un proyeccionista de cine anhela ser detective, y pone en práctica sus escasas habilidades cuando es incriminado por un rival por robar el reloj de bolsillo del padre de su novia.",Buster Keaton,"1924, 45min, A, Acción, Comedia, Romance, Buster Keaton, Buster Keaton, Kathryn McGuire, Joe Keaton","https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX140_CR0,7,140,207_.jpg"
202. How to Train Your Dragon,2010,1h 38m,7/i,"8,1","Un desventurado joven vikingo, que aspira a cazar dragones, se convierte en el improbable amigo de un joven dragón, y aprende que puede haber más en las criaturas de lo que suponía.",Jay Baruchel,"2010, 1h 38min, 7/i, Animación, Acción, Aventura, Dean DeBlois, Chris Sanders, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","https://m.media-amazon.com/images/M/MV5BNjFlM2Y5M2UtYzUwYy00OTU3LTg0NzEtMTZhODNlNzdiM2JkXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR7,0,140,207_.jpg"
203. Ratatouille,2007,1h 51m,A,"8,1",Una rata que sabe cocinar establece una inusual alianza con un joven trabajador de la cocina de un famoso restaurante de París.,Brad Garrett,"2007, 1h 51min, A, Animación, Aventura, Comedia, Brad Bird, Jan Pinkava, Brad Garrett, Lou Romano, Patton Oswalt","https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
204. Mary and Max,2009,1h 32m,Not Rated,"8,1","""Primer largometraje del ganador del Oscar Adam Elliot, """"Mary and Max"""" narra la larga amistad por correspondencia entre un cuarentón judío y obeso de Nueva York, y una niña australiana de 8 años que vive en los suburbios de Melbourne. (FILMAFFINITY)""",Toni Collette,"2009, 1h 32min, Not Rated, Animación, Comedia, Drama, Adam Elliot, Toni Collette, Philip Seymour Hoffman, Eric Bana","https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR3,0,140,207_.jpg"
205. El salario del miedo,1953,2h 11m,Not Rated,"8,1","En un ruinoso pueblo de América del Sur, contratan a cuatro hombres para el transporte urgente de un cargamento de nitroglicerina sin las condiciones necesarias de seguridad.",Yves Montand,"1953, 2h 11min, Not Rated, Aventura, Drama, Suspense, Henri-Georges Clouzot, Yves Montand, Charles Vanel, Peter van Eyck","https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg"
206. El tercer hombre,1949,1h 44m,A,"8,1","El escritor de novelas pulp Holly Martins viaja a la sombría Viena de la posguerra para investigar la misteriosa muerte de un viejo amigo, Harry Lime.",Orson Welles,"1949, 1h 44min, A, Cine negro, Misterio, Suspense, Carol Reed, Orson Welles, Joseph Cotten, Alida Valli","https://m.media-amazon.com/images/M/MV5BNjNkYzFhYWItNTYwOC00MDNiLWFhNDEtODcxNzIyNTQ5NTkyXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UY207_CR4,0,140,207_.jpg"
207. Fresas salvajes,1957,1h 31m,7,"8,1","Después de vivir una vida marcada por la frialdad, un profesor debe hacer frente en su vejez al vacío de su existencia.",Victor Sjöström,"1957, 1h 31min, 7, Drama, Romance, Ingmar Bergman, Victor Sjöström, Bibi Andersson, Ingrid Thulin","https://m.media-amazon.com/images/M/MV5BYWQxYzdhMDMtNjAyZC00NzE0LWFjYmQtYjk0YzMyYjA5NzZkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
208. Le Mans '66,2019,2h 32m,7,"8,1",La verdadera historia de la batalla entre Ford y Ferrari para ganar Le Mans en 1966.,Matt Damon,"2019, 2h 32min, 7, Acción, Biografía, Drama, James Mangold, Matt Damon, Christian Bale, Jon Bernthal","https://m.media-amazon.com/images/M/MV5BZGQxOGUyYmQtNWUzOC00NDFjLTlhNmEtNGQwMzZiNjhjODhhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY207_CR2,0,140,207_.jpg"
209. Caballero sin espada,1939,2h 9m,A,"8,1","Un hombre ingenuo cubre una vacante en el Senado de los Estados Unidos. Sus planes chocan rápidamente con la corrupción política, pero él no se desalienta.",James Stewart,"1939, 2h 9min, A, Comedia, Drama, Frank Capra, James Stewart, Jean Arthur, Claude Rains","https://m.media-amazon.com/images/M/MV5BNWU3MDg0NmYtMWIyNS00ZmMzLTgzYzItMzIwNTRkMTg1NDcxXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_QL75_UY207_CR1,0,140,207_.jpg"
210. Maharaja,2024,2h 30m,Not Rated,"8,6","Barber busca venganza por el robo, misteriosa ""lakshmi"" tomada, búsqueda de recuperación sigue.",Vijay Sethupathi,"2024, 2h 30min, Acción, Crimen, Drama, Nithilan Saminathan, Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas","https://m.media-amazon.com/images/M/MV5BOTFlMTIxOGItZTk0Zi00MTk2LWJiM2UtMzlhZWYzNjQ4N2Y3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
211. Cuentos de Tokio,1953,2h 16m,A,"8,1","Un matrimonio de ancianos viaja a Tokio a visitar a sus hijos pero encuentran indiferencia, ingratitud egoísmo y una marcada diferencia cultural. Cuando los impacientes hijos envían a los ancianos de vuelta a casa, entramos en una profunda reflexión acerca de la mortalidad y la familia.",Chishû Ryû,"1953, 2h 16min, A, Drama, Yasujirô Ozu, Chishû Ryû, Chieko Higashiyama, Sô Yamamura","https://m.media-amazon.com/images/M/MV5BMWI5ZTBjOGYtZDljNy00NmExLWFkOWMtM2UxYzJjYWI3NTEyXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY207_CR3,0,140,207_.jpg"
212. Rocky,1976,2h,18,"8,1",Un boxeador poco conocido tiene la gran oportunidad de enfrentarse al campeón de los pesos pesados en un combate en el que espera estar a la altura y hacerse un nombre.,Sylvester Stallone,"1976, 2h, 18, Drama, Deporte, John G. Avildsen, Sylvester Stallone, Talia Shire, Burt Young","https://m.media-amazon.com/images/M/MV5BNTBkMjg2MjYtYTZjOS00ODQ0LTg0MDEtM2FiNmJmOGU1NGEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
213. Logan,2017,2h 17m,16,"8,1","En el futuro cercano, un cansado Logan cuida de un Profesor X enfermo, en algún lugar de la frontera con México. Sin embargo, los intentos de Logan de esconderse del mundo y su legado se ven afectados cuando llega una joven mutante, perseguida por fuerzas oscuras.",Hugh Jackman,"2017, 2h 17min, 16, Acción, Drama, Ciencia ficción, James Mangold, Hugh Jackman, Patrick Stewart, Dafne Keen","https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX140_CR0,1,140,207_.jpg"
214. El gran Lebowski,1998,1h 57m,13,"8,1","Jeff ""El Nota"" Lebowski, confundido con un millonario del mismo nombre, busca restitución por su dañada alfombra, y recluta a sus compañeros de bolos para ayudarlo.",Jeff Bridges,"1998, 1h 57min, 13, Comedia, Crimen, Joel Coen, Ethan Coen, Jeff Bridges, John Goodman, Julianne Moore","https://m.media-amazon.com/images/M/MV5BODA2N2RiMGUtMTNjNC00ZDdhLTk5MjktMWYxMmE1ZDRkOGI0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
215. El séptimo sello,1957,1h 36m,13,"8,1","Un hombre busca respuestas sobre la vida, la muerte y la existencia de Dios mientras juega al ajedrez contra la muerte durante la Peste Negra.",Max von Sydow,"1957, 1h 36min, 13, Drama, Fantasía, Ingmar Bergman, Max von Sydow, Gunnar Björnstrand, Bengt Ekerot","https://m.media-amazon.com/images/M/MV5BOWM3MmE0OGYtOGVlNC00OWE1LTk5ZTAtYmUwMDIwM2ZlNWJiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
216. La habitación,2015,1h 58m,12,"8,1","Un niño es mantenido cautivo en una habitación con su madre desde su nacimiento, por lo que nunca ha conocido el mundo exterior.",Brie Larson,"2015, 1h 58min, 12, Drama, Suspense, Lenny Abrahamson, Brie Larson, Jacob Tremblay, Sean Bridgers","https://m.media-amazon.com/images/M/MV5BYTRhY2JiYTMtNTBkZS00NGIwLTk1NDUtZWY4M2VmMTczYmQ1XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
217. Spotlight,2015,2h 9m,12,"8,1","La verdadera historia de cómo el Boston Globe destapo el gran escándalo de abuso infantil y encubrimiento dentro de la Arquidiócesis Católica local, sacudiendo el corazón mismo de la Iglesia Católica.",Mark Ruffalo,"2015, 2h 9min, 12, Biografía, Crimen, Drama, Tom McCarthy, Mark Ruffalo, Michael Keaton, Rachel McAdams","https://m.media-amazon.com/images/M/MV5BN2VkZGIzZTYtMWJjNi00M2IzLWEwYjQtODRkYjBlYjMyMzU5XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_QL75_UY207_CR3,0,140,207_.jpg"
218. Terminator,1984,1h 47m,18,"8,1",Un androide aparentemente indestructible viaja desde el año 2029 hasta el año 1984 para asesinar a una camarera cuyo hijo no nacido liderará a la humanidad en una guerra contra las máquinas. Se envía a un combatiente de esa guerra para que proteja a la mujer cueste lo que cueste.,Arnold Schwarzenegger,"1984, 1h 47min, 18, Acción, Aventura, Ciencia ficción, James Cameron, Arnold Schwarzenegger, Linda Hamilton, Michael Biehn","https://m.media-amazon.com/images/M/MV5BMzRhZjM1MTAtZGI2Ni00ZmU1LTgwNzgtMzAxN2U5MmJkZWRkXkEyXkFqcGdeQXVyMTM3NzQ5NzQ@._V1_QL75_UX140_CR0,1,140,207_.jpg"
219. Hotel Rwanda,2004,2h 1m,13,"8,1",Paul Rusesabagina fue un gerente de hotel que dio refugio a miles de refugiados Tutsi durante sus esfuerzos contra la milicia Hutu en Ruanda.,Don Cheadle,"2004, 2h 1min, 13, Biografía, Drama, Historia, Terry George, Don Cheadle, Sophie Okonedo, Joaquin Phoenix","https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY207_CR0,0,140,207_.jpg"
220. Platoon,1986,2h,18,"8,1","Chris Taylor, un recluta novato en Vietnam, se encuentra atrapado en una batalla de voluntades entre dos sargentos, uno bueno y otro malo.",Charlie Sheen,"1986, 2h, 18, Drama, Bélico, Oliver Stone, Charlie Sheen, Tom Berenger, Willem Dafoe","https://m.media-amazon.com/images/M/MV5BNWExNjA4ZWYtMDcyNS00OTNkLTk4ZTAtNzE0ZjZiMDA1ZTQ3XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
221. El odio,1995,1h 38m,18,"8,1",Veinticuatro horas en la vida de tres jóvenes en los suburbios franceses un día después de un violento amotinamiento.,Vincent Cassel,"1995, 1h 38min, 18, Crimen, Drama, Mathieu Kassovitz, Vincent Cassel, Hubert Koundé, Saïd Taghmaoui","https://m.media-amazon.com/images/M/MV5BOTMzZWZjNDAtMzBkZS00YzJhLTgzNjEtMjRjMjQ2NmJlYWEyXkEyXkFqcGdeQXVyNzExODc3Nzk@._V1_QL75_UX140_CR0,1,140,207_.jpg"
222. Antes del atardecer,2004,1h 20m,13,"8,1","Nueve años después de conocerse, Jesse y Celine se reencuentran durante la gira del libro de Jesse en Francia.",Ethan Hawke,"2004, 1h 20min, 13, Drama, Romance, Richard Linklater, Ethan Hawke, Julie Delpy, Vernon Dobtcheff","https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_QL75_UY207_CR0,0,140,207_.jpg"
223. Piratas del Caribe: La maldición de la Perla Negra,2003,2h 23m,7,"8,1","El herrero Will Turner se une al excéntrico pirata Jack Sparrow para salvar a su amor, la hija del gobernador, de los antiguos aliados piratas de Jack, que ahora son muertos vivientes.",Johnny Depp,"2003, 2h 23min, 7, Acción, Aventura, Fantasía, Gore Verbinski, Johnny Depp, Geoffrey Rush, Orlando Bloom","https://m.media-amazon.com/images/M/MV5BOWJkZjgyYWItYjhmMy00NWZlLThhNjctMzhiMTkxM2JiMjdjXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
224. La pasión de Juana de Arco,1928,1h 50m,13,"8,1","En 1431, Juana de Arco es juzgada por herejía. Los juristas eclesiásticos intentan obligar a Juana a retractarse de sus santas visiones.",Maria Falconetti,"1928, 1h 50min, 13, Biografía, Drama, Historia, Carl Theodor Dreyer, Maria Falconetti, Eugene Silvain, André Berley","https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,6,140,207_.jpg"
225. Jai Bhim,2021,2h 44m,Not Rated,"8,7",Un abogado lucha por los derechos territoriales de los pueblos tribales.,Suriya,"2021, 2h 44min, Not Rated, Crimen, Drama, Misterio, T.J. Gnanavel, Suriya, Lijo Mol Jose, Manikandan K.","https://m.media-amazon.com/images/M/MV5BNzFkM2FhMzQtYjUwZi00N2Y3LWFkZWItMmZmMjQxNGQwZmNhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_QL75_UY207_CR13,0,140,207_.jpg"
226. Los mejores años de nuestra vida,1946,2h 50m,A,"8,1","Tres veteranos de la Segunda Guerra Mundial, dos de ellos traumatizados o discapacitados, regresan a casa en el Medio Oeste americano para descubrir que ellos y sus familias han cambiado irremediablemente.",Myrna Loy,"1946, 2h 50min, A, Drama, Romance, Bélico, William Wyler, Myrna Loy, Dana Andrews, Fredric March","https://m.media-amazon.com/images/M/MV5BYjNkZjUwNDctODlhMS00YjhlLTgwNTYtNGY3MGQwNGRjMDgzXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_QL75_UY207_CR1,0,140,207_.jpg"
